foldername,placename,電腦編號,村里別,地址,緯度,經度,地下樓層數,可容納人數,轄管分局,備註
海山、板橋,海山分局,DE04000125,新海里,新北市板橋區新海路454號,25.028166,121.457874,1,523.0,鐵路警察局臺北分局,
海山、板橋,海山分局,DE04000126,幸福里,新北市板橋區幸福路70巷1號,25.020036,121.460767,1,681.0,鐵路警察局臺北分局,
海山、板橋,海山分局,DE04000127,新翠里,新北市板橋區新海路328號,25.024091,121.460466,1,43.0,鐵路警察局臺北分局,
海山、板橋,海山分局,DE04000129,文德里,新北市板橋區漢生西路165巷46號,25.023629,121.461929,1,668.0,鐵路警察局臺北分局,
海山、板橋,海山分局,DE04000130,文德里,新北市板橋區新海路72巷64號,25.02353,121.461803,1,1330.0,鐵路警察局臺北分局,
海山、板橋,海山分局,DE04000131,德翠里,新北市板橋區龍泉街108巷11號,25.024272,121.456195,1,1562.0,鐵路警察局臺北分局,
海山、板橋,海山分局,DE04000133,吉翠里,新北市板橋區裕民街151號,25.027035,121.458622,1,241.0,鐵路警察局臺北分局,
海山、板橋,海山分局,DE04000134,港尾里,新北市板橋區中正路330號,25.021649,121.454487,2,307.0,鐵路警察局臺北分局,
海山、板橋,海山分局,DE04000135,德翠里,新北市板橋區龍泉街108巷26號,25.024636,121.455789,1,131.0,鐵路警察局臺北分局,
海山、板橋,海山分局,DE04000136,德翠里,新北市板橋區龍泉街90巷20號,25.024968,121.455901,1,1883.0,鐵路警察局臺北分局,
海山、板橋,海山分局,DE04000137,吉翠里,新北市板橋區長江路一段59號,25.029368,121.45889,1,486.0,鐵路警察局臺北分局,
海山、板橋,海山分局,DE04000138,宏翠里,新北市板橋區長江路一段208號,25.030763,121.462713,1,69.0,鐵路警察局臺北分局,
海山、板橋,海山分局,DE04000139,宏翠里,新北市板橋區長江路一段371號,25.03067,121.461706,1,1153.0,鐵路警察局臺北分局,
海山、板橋,海山分局,DE04000140,文德里,新北市板橋區新海路72巷53號,25.023394,121.461737,1,2561.0,鐵路警察局臺北分局,
海山、板橋,海山分局,DE04000141,文德里,新北市板橋區漢生西路40號,25.01858,121.463357,1,3133.0,鐵路警察局臺北分局,
海山、板橋,海山分局,DE04000142,忠誠里,新北市板橋區文化路一段313號,25.021012,121.465198,1,3629.0,鐵路警察局臺北分局,
海山、板橋,海山分局,DE04000143,幸福里,新北市板橋區新海路63號,25.02148,121.461884,1,439.0,鐵路警察局臺北分局,
